,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
linguagem,assembly,c,css,asl,javascript,none,html,go,apl,batch,api blueprint,python,lua,jupyter notebook,typescript,dart,antlr,dockerfile,shell,csharp,java,codeql,r,c++,arc,digital command Language,astro,rust,sql,powershell,haskell,glsl,solidity,matlab,procfile,makefile,hcl,awk,shaderlab,kotlin,autohotkey,coffeescript,lisp,julia,apex,tex,php,qt script,swift,asymptote,clojure,mustache,nasl,coq,nix,nunjucks,applescript,ruby
shell,0,0.288,0.373,0,0,1.408,0.252,0,0,0.442,0,1.459,0,0,0,0,0,2.110,0,0,0,0,0,0.499,5.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
verilog,0,3.890,0,0,0,0,0,0,0,0,0,0,0,35.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dart,0,18.444,0,0,0,0,0,0,0,0,0,0,0,0,0,46.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kotlin,0,1.297,0,0,0,0,1.572,0.411,0,0,0,0.097,0,0,0,0,0,0.844,0,2.843,10.891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.922,0,0,0,100.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haskell,0,0.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
less,0,0.288,0.025,0,0,1.056,0.063,0.205,0,0,0,0,0,0.270,0,0,0,0.422,0,0,0.990,0,0,0.623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
typescript,0,1.729,2.091,0,8.609,2.993,3.711,0,0,6.843,0,0,0,0,46.939,0,0,1.266,0,0,7.921,0,0,0,17.647,0,0,0,0,0,0,0,0,0,0,13.725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
java,0,2.017,1.195,0,12.086,0.528,3.899,0,0,0,0,0,0,0,0,0,0,0.422,0,2.193,19.802,0,0,4.613,0,0,0,11.864,1.681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.000,0,0,0,0,0,0,0,0,0,0,0,0,0
objective,0,0.288,0,0,0.331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cmake,0,0.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
